Id	Count
102377	436
102378	2001
102379	106
102381	273
102382	2495
102383	1221
102385	1
102386	4
102401	916
102403	760
102411	160
102414	254
102416	304
102437	1308
102441	7
102444	384
102451	1595
102454	9
102458	2050
102461	1635
102464	1929
102467	0
102468	150
102476	3369
102482	1891
102487	697
102489	7
102492	10
102497	823
102499	166
102500	22
102504	32
102512	3423
102521	15
102554	502
102555	1734
102559	1388
102561	87
102562	0
102567	1
102572	363
102579	4573
102581	1948
102582	1238
102593	1209
102599	1047
102603	348
102607	1427
102612	883
102616	1887
102617	2586
102619	1158
102627	1522
102637	0
102640	376
102641	845
102648	2700
102650	993
102652	1008
102655	2885
102659	862
102668	1243
102672	1817
102673	1061
102676	754
102677	15
102680	0
102686	8
102694	3011
102700	7026
102705	770
102711	2506
102723	2102
102735	611
102737	12251
102738	621
102743	4950
102744	1296
102763	376
102766	918
102769	740
102772	1
102773	2
102774	4
102775	36
102776	2819
102778	25
102779	41
102780	0
102785	37
102787	14
102788	1
102789	75
102794	476
102799	921
102813	2313
102816	3059
102820	89
102830	684
102836	0
102837	2994
102846	466
102850	0
102851	50
102855	167
102863	378
102864	69
102870	7956
102871	686
102876	61
102884	5
102887	0
102890	67
102892	105
102901	736
102904	285
102906	63
102908	360
102909	134
102910	830
102920	778
102927	0
102933	39
102935	0
102936	0
102938	1
102941	802
102947	502
102952	0
102953	758
102957	3
102960	363
102964	1
102966	3024
102970	45
102973	2016
102976	197
102980	1097
102985	2256
102989	1273
102996	11
102998	313
102999	844
103002	218
103006	36
103009	2
103012	1
103015	52
103016	1
103023	1755
103028	495
103031	10
103032	14
103033	55
103034	75
103039	99
103041	143
103043	0
103044	0
103045	0
103048	638
103049	85
103050	1
103059	32
103060	328
103061	126
103062	446
103063	980
103064	684
103065	154
103073	5
103080	608
103103	711
103108	526
103112	158
103113	0
103114	0
103119	1
103121	0
103122	1
103127	956
103129	6
103130	3
103131	5
103132	2514
103133	3
103134	1
103135	23
103136	9
103138	835
103143	132
103145	1
103147	24430
103149	3375
103153	0
103155	0
103156	3
103157	2913
103158	370
103162	449
103167	1416
103172	47
103174	1
103175	2
103176	0
103177	1
103179	1940
103180	651
103186	0
103189	105
103191	1
103193	7
103205	89
103209	1416
103215	1901
103222	5700
103230	4152
103236	539
103252	177
103273	2172
103275	3859
103276	4
103282	2027
103286	1
103291	817
103302	1491
103303	1341
103311	2229
103312	1136
103321	738
103322	872
103330	0
103335	5
103336	59
103348	559
103350	2630
103356	1431
103364	0
103366	142
103372	3063
103376	307
103393	40
103394	3
103395	3
103403	1
103411	87
103421	284
103423	0
103437	59
103438	241
103442	283
103446	336
103447	244
103451	418
103455	666
103458	48
103459	1
103463	84
103470	2
103482	608
103487	349
103498	774
103506	2240
103517	933
103537	490
103555	1223
103560	26
103563	204
103576	3
103579	2210
103594	456
103597	283
103599	819
103613	77
103614	108
103618	788
103625	1050
103651	0
103653	0
103655	1478
103660	13
103668	55
103669	1174
103671	521
103683	18
103694	2087
103695	114
103703	654
103712	0
103715	1
103720	1357
103725	4
103739	342
103740	602
103745	733
103747	358
103751	1207
103754	1428
103755	66
103756	3124
103761	136
103771	864
103772	24
103774	75
103778	4
103798	0
103799	1928
103801	21
103804	822
103812	514
103813	191
103822	462
103825	224
103827	0
103844	3396
103850	1751
103852	1842
103853	457
103861	9520
103863	0
103865	1504
103866	195
103886	1970
103898	131
103900	6
103907	90
103917	844
