Id	Count
102377	300
102378	1457
102379	36
102381	223
102382	2449
102383	575
102385	0
102386	3
102401	489
102403	490
102411	109
102414	211
102416	360
102437	637
102441	2
102444	274
102451	1125
102454	16
102458	1269
102461	1403
102464	1756
102467	0
102468	88
102476	2110
102482	2098
102487	436
102489	0
102492	3
102497	640
102499	2962
102500	52
102504	24
102512	2215
102521	1
102554	342
102555	997
102559	1383
102561	115
102562	0
102567	2
102572	213
102579	2976
102581	2574
102582	1159
102593	915
102599	616
102603	281
102607	733
102612	924
102616	1664
102617	2398
102619	452
102627	1019
102637	0
102640	287
102641	902
102648	2684
102650	715
102652	458
102655	1910
102659	601
102668	930
102672	2043
102673	674
102676	328
102677	5
102680	0
102686	2
102694	1801
102700	7563
102705	322
102711	2313
102723	1213
102735	552
102737	2742
102738	457
102743	1497
102744	1612
102763	290
102766	1415
102769	808
102772	0
102773	1
102774	2
102775	6
102776	1908
102778	101
102779	138
102780	0
102785	6
102787	11
102788	6
102789	44
102794	285
102799	745
102813	2003
102816	2571
102820	1
102830	897
102836	0
102837	831
102846	414
102850	1
102851	2
102855	102
102863	245
102864	29
102870	6553
102871	496
102876	52
102884	2
102887	0
102890	46
102892	149
102901	468
102904	4852
102906	33
102908	83
102909	128
102910	436
102920	948
102927	0
102933	248
102935	0
102936	3
102938	0
102941	1132
102947	342
102952	1
102953	1225
102957	2
102960	68
102964	0
102966	2737
102970	26
102973	1327
102976	159
102980	1285
102985	2187
102989	798
102996	5
102998	68
102999	33
103002	119
103006	8
103009	1
103012	57
103015	4
103016	1
103023	1540
103028	859
103031	15
103032	9
103033	33
103034	29
103039	402
103041	756
103043	0
103044	0
103045	0
103048	1408
103049	432
103050	0
103059	6
103060	298
103061	1
103062	21
103063	980
103064	999
103065	725
103073	7
103080	541
103103	351
103108	102
103112	11
103113	1
103114	1
103119	2
103121	0
103122	1
103127	426
103129	11
103130	19
103131	30
103132	2815
103133	0
103134	2
103135	20
103136	21
103138	488
103143	224
103145	1
103147	8254
103149	3094
103153	1
103155	0
103156	4
103157	1287
103158	157
103162	372
103167	991
103172	10
103174	0
103175	1
103176	0
103177	0
103179	0
103180	1050
103186	0
103189	18
103191	0
103193	5
103205	14
103209	1004
103215	840
103222	2537
103230	3492
103236	273
103252	125
103273	856
103275	314
103276	0
103282	1340
103286	2
103291	454
103302	1421
103303	1456
103311	1093
103312	406
103321	649
103322	776
103330	0
103335	0
103336	20
103348	315
103350	1561
103356	1264
103364	0
103366	81
103372	3066
103376	272
103393	64
103394	1
103395	15
103403	0
103411	48
103421	218
103423	0
103437	87
103438	168
103442	518
103446	120
103447	142
103451	342
103455	181
103458	0
103459	0
103463	18
103470	3
103482	546
103487	266
103498	935
103506	957
103517	706
103537	65
103555	791
103560	10
103563	124
103576	2
103579	2776
103594	461
103597	138
103599	350
103613	44
103614	77
103618	788
103625	1613
103651	31
103653	0
103655	1577
103660	44
103668	23
103669	2152
103671	1856
103683	12
103694	1154
103695	5
103703	560
103712	0
103715	2
103720	1048
103725	1
103739	210
103740	334
103745	807
103747	272
103751	1142
103754	1213
103755	52
103756	3046
103761	106
103771	770
103772	31
103774	20
103778	47
103798	3
103799	4568
103801	12
